Artist,Album,Title,Work,note,Genre,GenreMelon,GenreBugs,GenreSource,CoverImageURL,MelonAlbumId,MelonAlbumURL,MelonReleaseDate,MelonLookupStatus
최유리,746,전곡,튠,,"발라드, R&B/Soul, 재즈","발라드, R&B/Soul, 재즈",,melon,https://cdnimg.melon.co.kr/cm2/album/images/115/96/522/11596522_20241028111854_500.jpg?13b4440d152eac5c1317d44f33933f81,11596522,https://www.melon.com/album/detail.htm?albumId=11596522,2024.10.28,found
최유리,외로움이란 건,외로움이란 건,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/117/26/201/11726201_20250228134006_500.jpg?5ec606dc26cc6b213ff2e5b9fb50f6ce,11726201,https://www.melon.com/album/detail.htm?albumId=11726201,2025.03.04,found
최유리,미지의 서울 ost Pt.1,노란 봄,튠,,"국내드라마, 발라드","국내드라마, 발라드",,melon,https://cdnimg.melon.co.kr/cm2/album/images/118/40/034/11840034_20250602145331_500.jpg?a8e2cecb7c980daf76f8e59199cdd57f,11840034,https://www.melon.com/album/detail.htm?albumId=11840034,2025.05.31,found
최유리,노래,잠수,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/118/49/097/11849097_20250609152644_500.jpg?f8cbb7daa04893ce260679555f54beaf,11849097,https://www.melon.com/album/detail.htm?albumId=11849097,2025.06.10,found
최유리,노래,세상아 동화처럼,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/118/49/097/11849097_20250609152644_500.jpg?f8cbb7daa04893ce260679555f54beaf,11849097,https://www.melon.com/album/detail.htm?albumId=11849097,2025.06.10,found
최유리,"머무름, 하나",전곡,튠,,발라드,,발라드,bugs,https://image.bugsm.co.kr/album/images/500/41313/4131339.jpg,4131339,https://music.bugs.co.kr/album/4131339,2025.10.23,found
이승기,라디오라이브,https://youtu.be/PgSShLgk1hY?si=03BBSBIwhCkgvuvJ,튠,,발라드,,,manual,,,,,not_found
김레전드,이별을 노래로 만들어 보았습니다,이별을 노래로 만들어 보았습니다,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/124/11/389/12411389_20251127114649_500.jpg?3ebd81bbcffc87f0b15825b8cbae93f5,12411389,https://www.melon.com/album/detail.htm?albumId=12411389,2025.11.28,found
폴킴 ,2025 Paul Kim Concert 'Pauliday',https://youtu.be/_VX_mjalG3k?si=Njcd7utLSf6ZHO78,튠,,"댄스, 발라드",,,manual,,,,,not_found
폴킴 ,2025 Paul Kim Concert 'Pauliday',https://youtu.be/d4xDQDzK5hM?si=oZzBVFAWifQmZkB5,튠,,발라드,,,manual,,,,,not_found
